id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/sdg,,,,,,,,,,,,,
,,,,KaimoGyventojas2kmNuoKelio,,,grid_id,,,4,,,"Kaimo gyventojų, gyvenančių 2 km spinduliu nuo visus metus funkcionuojančio kelio, dalis, 1 km stačiakampėse gardelėse","Jungtinių Tautų 70-ojoje sesijoje 2015 m. rugsėjo 25 d. priimta Generalinės Asamblėjos rezoliucija „Keiskime mūsų pasaulį: Darnaus vystymosi darbotvarkė iki 2030 metų“. Vienas iš darnaus vystymosi rodiklių, parengtas detaliu, 1 km gardelių, lygmeniu: 9.1.1. Kaimo gyventojų, gyvenančių 2 km spinduliu nuo visus metus funkcionuojančio kelio, dalis."
,,,,,grid_id,ref,"/datasets/gov/lsd/grid/Grid1KmSq",,,4,open,,Stačiakampės gardelės unikalus kodas,"Susideda iš gardelės dydžio (pvz., 1x1km) ir X ir Y koordinačių pirmųjų penkių skaičių (pvz., 1x1kmX30000Y60000)"
,,,,,pop_2km,integer,,,,4,open,,"Tikslinių metų gyventojų, patenkančių į 2 km spindulį nuo visus metus funkcionuojančio kelio skaičius. Jei atitinkamoje gardelėje gyventojų yra mažiau nei 3 - nuasmeninant duomenis įrašomas skaičius - 3, jei gyventojų gardelėje nėra - 0, jei gyventojų daugiau nei trys - įrašomas tikras gyventojų skaičius atitinkamoje gardelėje","Jei atitinkamoje gardelėje gyventojų yra mažiau nei 3 - nuasmeninant duomenis įrašomas skaičius - 3, jei gyventojų gardelėje nėra - 0, jei gyventojų daugiau nei trys - įrašomas tikras gyventojų skaičius atitinkamoje gardelėje."
,,,,,pop_percent_2km,number,%,,,4,open,,"Tikslinių metų gyventojų, patenkančių į 2 km spindulį nuo visus metus funkcionuojančio kelio dalis, nuo visų gyventojų atitinkamoje gardelėje",
,,,,,year,integer,yr,,,4,open,,"Tiksliniai metai",
